stt,file_path,duration,lastest_used_value
1,\\nashp\DATABUHP\Nam SEO\.Spidey\.Đã Up\001 Spidey\video edit\001 spidey fix.mp4,3:44,9304004
2,\\nashp\DATABUHP\Nam SEO\.Spidey\.Đã Up\002 Spidey\video edit\002 spidey.MP4,3:05,8457916
3,\\nashp\DATABUHP\Nam SEO\.Spidey\.Đã Up\003 spidey\video edit\003 spidey.mp4,3:11,9140402
4,\\nashp\DATABUHP\Nam SEO\.Spidey\.Đã Up\004 Spidey\edit video\004 spidey.mp4,2:47,8270861
5,\\nashp\DATABUHP\Nam SEO\.Spidey\.Đã Up\005 Spidey\video edit\005 spidey.mp4,3:03,7054952
6,\\nashp\DATABUHP\Nam SEO\.Spidey\.Đã Up\006 Spidey\video edit\006 spidey fix.mp4,3:02,7413944
7,\\nashp\DATABUHP\Nam SEO\.Spidey\.Đã Up\007 Spidey\video edit\007 spidey.mp4,2:46,6366449
8,\\nashp\DATABUHP\Nam SEO\.Spidey\.Đã Up\008 Spidey\video edit\008 spidey.mp4,2:37,7858169
9,\\nashp\DATABUHP\Nam SEO\.Spidey\.Đã Up\009 Spidey\video edit\009 spidey.mp4,3:33,7421478
10,\\nashp\DATABUHP\Nam SEO\.Spidey\.Đã Up\010 spidey\video edit\010 spidey.mp4,3:38,5616571
11,\\nashp\DATABUHP\Nam SEO\.Spidey\.Đã Up\011 Spidey\video edit\011 spidey.mp4,3:09,7255878
12,\\nashp\DATABUHP\Nam SEO\.Spidey\.Đã Up\012 Spidey\video edit\012 spidey.mp4,2:53,6218545
13,\\nashp\DATABUHP\Nam SEO\.Spidey\.Đã Up\013 Spidey\video edit\013 spidey.mp4,3:29,6105948
14,\\nashp\DATABUHP\Nam SEO\.Spidey\.Đã Up\014 Spidey\video edit\014 spidey.mp4,3:25,5780908
15,\\nashp\DATABUHP\Nam SEO\.Spidey\.Đã Up\015 Spidey\video edit\015 spidey.mp4,3:18,5422842
16,\\nashp\DATABUHP\Nam SEO\.Spidey\.Đã Up\016 Spidey\video edit\016 spidey.mp4,2:50,5507309
17,\\nashp\DATABUHP\Nam SEO\.Spidey\.Đã Up\017 Spidey\video edit\017 spidey.mp4,3:14,5166168
18,\\nashp\DATABUHP\Nam SEO\.Spidey\.Đã Up\018 Spidey\video edit\018 spidey.mp4,3:13,4828832
19,\\nashp\DATABUHP\Nam SEO\.Spidey\.Đã Up\019 Spidey\video edit\019 Spidey.mp4,3:39,5012591
20,\\nashp\DATABUHP\Nam SEO\.Spidey\.Đã Up\020 Spidey\video edit\020 spidey.mp4,3:46,4916945
21,\\nashp\DATABUHP\Nam SEO\.Spidey\.Đã Up\021 Spidey\video edit\021 spidey.mp4,3:45,4551889
22,\\nashp\DATABUHP\Nam SEO\.Spidey\.Đã Up\022 Spidey\video edit\022 spidey.mp4,3:15,4303899
23,\\nashp\DATABUHP\Nam SEO\.Spidey\.Đã Up\023 Spidey\video edit\023 spidey.mp4,3:56,4397315
24,\\nashp\DATABUHP\Nam SEO\.Spidey\.Đã Up\024 Spidey\video edit\024 spidey.mp4,4:30,4206263
25,\\nashp\DATABUHP\Nam SEO\.Spidey\.Đã Up\025 Spidey\video edit\025 spidey.mp4,4:05,3843997
26,\\nashp\DATABUHP\Nam SEO\.Spidey\.Đã Up\026 Spidey\video edit\026 spidey.mp4,3:22,3703152
27,\\nashp\DATABUHP\Nam SEO\.Spidey\.Đã Up\027 Spidey\video edit\027 spidey.mp4,3:21,3187423
28,\\nashp\DATABUHP\Nam SEO\.Spidey\.Đã Up\028 Spidey\video edit\028 spidey.mp4,3:39,3338570
29,\\nashp\DATABUHP\Nam SEO\.Spidey\.Đã Up\029 Spidey\video edit\029 spidey.mp4,3:59,3587144
30,\\nashp\DATABUHP\Nam SEO\.Spidey\.Đã Up\030 Spidey\video edit\030 spidey.mp4,3:37,3094027
31,\\nashp\DATABUHP\Nam SEO\.Spidey\.Đã Up\031 Spidey\video edit\031 spidey.mp4,3:47,2987827
32,\\nashp\DATABUHP\Nam SEO\.Spidey\.Đã Up\032 Spidey\video edit\032 spidey.mp4,4:36,2420772
33,\\nashp\DATABUHP\Nam SEO\.Spidey\.Đã Up\033 Spidey\video edit\033 spidey.mp4,4:11,2662640
34,\\nashp\DATABUHP\Nam SEO\.Spidey\.Đã Up\034 Spidey\video edit\034 spidey.mp4,4:06,2569929
35,\\nashp\DATABUHP\Nam SEO\.Spidey\.Đã Up\035 spidey\video edit\035 spidey.mp4,3:51,2237174
36,\\nashp\DATABUHP\Nam SEO\.Spidey\.Đã Up\036 Spidey\video edit\036 spidey.mp4,3:16,2151461
37,\\nashp\DATABUHP\Nam SEO\.Spidey\.Đã Up\037 Spidey\video edit\037 spidey.mp4,3:27,1967159
38,\\nashp\DATABUHP\Nam SEO\.Spidey\.Đã Up\038 Spidey\video edit\038 spidey.mp4,4:55,1815355
39,\\nashp\DATABUHP\Nam SEO\.Spidey\.Đã Up\039 Spidey\video edit\039 spidey.mp4,3:35,1626869
40,\\nashp\DATABUHP\Nam SEO\.Spidey\.Đã Up\040 Spidey\video edit\040 spidey.mp4,3:09,1555197
41,\\nashp\DATABUHP\Nam SEO\.Spidey\041 Spidey\video edit\041 spidey.mp4,3:47,1297410
42,\\nashp\DATABUHP\Nam SEO\.Spidey\042 Spidey\video edit\042 spidey.mp4,4:15,1150387
43,\\nashp\DATABUHP\Nam SEO\.Spidey\043 spidey\video edit\043 spidey.mp4,3:56,941262
44,\\nashp\DATABUHP\Nam SEO\.Spidey\044 spidey\video edit\044 spidey.mp4,4:48,583457
45,\\nashp\DATABUHP\Nam SEO\.Spidey\044 spidey\video edit\045 spidey.mp4,3:43,747405
46,\\nashp\DATABUHP\Nam SEO\.Spidey\045 Spidey\video edit\045 spidey.mp4,3:43,747406
47,\\nashp\DATABUHP\Nam SEO\.Spidey\046 Spidey\video edit\046 spidey.mp4,3:28,346152
48,\\nashp\DATABUHP\Nam SEO\.Spidey\047 Spidey\video edit\047 spidey.mp4,3:18,239531
49,\\nashp\DATABUHP\Nam SEO\.Spidey\048 Spidey\video edit\048 spidey.mp4,3:23,144545
